,0,1,2,3
ALA-SS170815-01-2892435,0.0022,0.001,0.003,0.9938
ALA-SS170815-03-2892473,0.0027,0.001,0.0059,0.9904
ALA-SS170815-04-2892440,0.0029,0.0016,0.0212,0.9743
ALA-SS170816-01-2892493,0.0016,0.0011,0.0011,0.9962
ALA-SS170820-05-2892447,0.0054,0.001,0.0034,0.9902
ALA-SS170822-01-2892494,0.0022,0.0023,0.0037,0.9918
ALA-SS170822-02-2892495,0.0049,0.0018,0.0024,0.9909
ALA-SS170822-03-2892528,0.0022,0.0008,0.0109,0.9861
ALA-SS171011-02-2892425,0.0018,0.001,0.0036,0.9936
ALA-SS171011-03-2892496,0.0118,0.0011,0.0059,0.9812
ALA-SS171018-02-2892517,0.0044,0.001,0.001,0.9936
ALA-SS171025-01-2892506,0.0011,0.0136,0.0053,0.98
ALA-SS171104-01-2892432,0.0021,0.001,0.0081,0.9888
ALA-SS171105-01-2892472,0.0044,0.001,0.0037,0.9909
ALA-SS171106-02-2892479,0.0017,0.0009,0.0043,0.9931
ALA-SS171106-03-2892404,0.0014,0.001,0.0037,0.9939
ALA-VU51-2892500,0.0018,0.0013,0.0047,0.9922
ALA-VU53-2892376,0.0012,0.0008,0.0015,0.9965
ALA-VU62-2892417,0.0289,0.0015,0.0242,0.9454
ALA-KLS0327-2892561,0.0109,0.0128,0.9384,0.0379
APO-BD304-2892487,0.003,0.001,0.0032,0.9928
APO-BD320-2892516,0.0012,0.0012,0.0041,0.9935
APO-BD325-2892538,0.0011,0.0012,0.0026,0.9951
APO-BD326-2892550,0.0014,0.0012,0.0056,0.9918
APO-BD330-2892535,0.0012,0.0025,0.0026,0.9937
APO-BD331-2892519,0.0013,0.0015,0.0013,0.9959
APO-BD337-2892483,0.001,0.0008,0.0023,0.9959
APO-BD338-2892540,0.001,0.0009,0.0022,0.9959
APO-BD339-2892520,0.001,0.001,0.0032,0.9948
APO-BD342-2892423,0.0019,0.0013,0.0023,0.9945
