,0,1,2,3,4
ALA-SS171106-02-2892479,0.0722,0.0113,0.0107,0.8989,0.0069
ALA-SS171106-03-2892404,0.1495,0.0083,0.0079,0.8301,0.0043
ALA-VU51-2892500,0.0333,0.009,0.009,0.936,0.0127
ALA-VU53-2892376,0.0343,0.0102,0.0107,0.9209,0.0239
ALA-VU62-2892417,0.0889,0.0145,0.0152,0.8598,0.0215
ALA-KLS0327-2892561,0.8405,0.0067,0.0068,0.1025,0.0435
APO-BD304-2892487,0.0456,0.0174,0.0168,0.9139,0.0063
APO-BD320-2892516,0.0083,0.011,0.0113,0.9661,0.0033
APO-BD325-2892538,0.0117,0.0055,0.0057,0.9675,0.0096
APO-BD326-2892550,0.079,0.0099,0.0098,0.8964,0.0049
APO-BD330-2892535,0.0039,0.0078,0.0076,0.9773,0.0034
APO-BD331-2892519,0.0091,0.0129,0.0119,0.9599,0.0062
APO-BD337-2892483,0.0049,0.0071,0.0073,0.9762,0.0045
APO-BD338-2892540,0.0119,0.0134,0.0146,0.958,0.0021
APO-BD339-2892520,0.0363,0.0094,0.0098,0.9415,0.003
APO-BD342-2892423,0.0165,0.0213,0.022,0.9364,0.0038
