Species,Region,file,num_seqs_Raw,num_seqs_Trimmed,sum_len_Raw,sum_len_Trimmed
Aipysurus laevis,Exmouth Gulf,ALA-KLS0871-2892523,1497578,1231918,206665764,85145808
Aipysurus laevis,Gulf of Carpentaria,ALA-R37025-2892461,1440196,1310289,198747048,108566840
Aipysurus laevis,Gulf of Carpentaria,ALA-R29880-2892521,1574892,1386258,217335096,106574137
Aipysurus laevis,Gulf of Carpentaria,ALA-R37032-2892401,1460932,1292138,201608616,103599694
Aipysurus laevis,Gulf of Carpentaria,ALA-R37101-2892544,1573481,1370941,217140378,101757639
Aipysurus laevis,Gulf of Carpentaria,ALA-R37140-2892462,1435242,1275845,198063396,99672745
Aipysurus laevis,Gulf of Carpentaria,ALA-R37128-2892424,1319541,1211467,182096658,99490672
Aipysurus laevis,Gulf of Carpentaria,ALA-R37010-2892460,1488598,1346248,205426524,98823626
Aipysurus laevis,Gulf of Carpentaria,ALA-R37034-2892486,1332458,1201770,183879204,98751045
Aipysurus laevis,Gulf of Carpentaria,ALA-R37027-2892458,1241749,1161439,171361362,97359376
Aipysurus laevis,Gulf of Carpentaria,ALA-R37122-2892464,1350112,1233655,186315456,95722070
Aipysurus laevis,Gulf of Carpentaria,ALA-R36967-2892426,1139847,1073655,157298886,92810919
Aipysurus laevis,Gulf of Carpentaria,ALA-R37003-2892459,1234786,1122318,170400468,89462526
Aipysurus laevis,Gulf of Carpentaria,ALA-R29880-2562259,1233098,1086436,170167524,85527927
Aipysurus laevis,Gulf of Carpentaria,ALA-R36974-2892437,1173666,1069120,161965908,83811793
Aipysurus laevis,Gulf of Carpentaria,ALA-R37116-2892470,1416227,1210261,195439326,82146961
Aipysurus laevis,Gulf of Carpentaria,ALA-R37113-2892490,1607243,1245399,221799534,69028751
Aipysurus laevis,Gulf of Carpentaria,ALA-MAGNT-R36654-2583996,1241901,619286,171382338,43096644
Aipysurus laevis,Gulf of Carpentaria,ALA-MAGNT-R36654-2571090,1100234,602376,151832292,39535293
Aipysurus laevis,Gulf of Carpentaria,ALA-MAGNT-R36654-2562269,865531,507585,119443278,35337448
Aipysurus laevis,Heywood Shoal,ALA-VU132-2562114,1439384,1227245,198634992,94313394
Aipysurus laevis,Heywood Shoal,ALA-VU121-2562122,1566481,1274904,216174378,90215612
Aipysurus laevis,Heywood Shoal,ALA-VU130-2562201,1159850,1087615,160059300,88150680
Aipysurus laevis,Heywood Shoal,ALA-VU121-2584014,1278871,1075560,176484198,76027413
Aipysurus laevis,Heywood Shoal,ALA-VU130-2571062,757326,691112,104510988,54754038
Aipysurus laevis,New Caledonia,ALA-NC_Jan2019_217-2892446,1529786,1410476,211110468,117288125
Aipysurus laevis,New Caledonia,ALA-NC_Jan2019_213-2892489,1528518,1342039,210935484,105546310
Aipysurus laevis,New Caledonia,ALA-NC_Jan2019_247-2892476,1481093,1306541,204390834,104453559
Aipysurus laevis,New Caledonia,ALA-NC_Jan2019_271-2892518,1421764,1268003,196203432,102988241
Aipysurus laevis,New Caledonia,ALA-NC_Jan2019_208-2562133,1401320,1259991,193382160,100640760
Aipysurus laevis,New Caledonia,ALA-NC_Jan2019_227-2892537,1370293,1199213,189100434,96050836
Aipysurus laevis,New Caledonia,ALA-NC_Jan2019_282-2562143,1306854,1178292,180345852,94100478
Aipysurus laevis,New Caledonia,ALA-NC_Jan2019_275-3446981,1417360,1302027,98504832,92416370
Aipysurus laevis,New Caledonia,ALA-NC_Jan2019_213-2894774,1201672,1094239,165830736,91202178
Aipysurus laevis,New Caledonia,ALA-NC_Jan2019_269-3446978,1411543,1300352,92986135,87024884
Aipysurus laevis,New Caledonia,ALA-NC_Jan2019_282-2583999,1107616,998323,152851008,80317834
Aipysurus laevis,New Caledonia,ALA-NC_Jan2019_213-2892584,938671,865614,129536598,76291392
Aipysurus laevis,New Caledonia,ALA-NC_Jan2019_253-3446972,1183097,1087316,79363836,74311701
Aipysurus laevis,New Caledonia,ALA-NC_2019_247-2117816,1168232,1032766,96963256,57624138
Aipysurus laevis,New Caledonia,ALA-NC_2019_217-2117818,1081714,978368,89782262,55655857
Aipysurus laevis,Pilbara,ALA-KLS1555-3593323,2175354,2077687,189038350,182202414
Aipysurus laevis,Pilbara,ALA-KLS1526-3593438,2174985,2070306,181857210,175388049
Aipysurus laevis,Pilbara,ALA-KLS1549-3593354,2297352,2100772,188394907,174653708
Aipysurus laevis,Pilbara,ALA-KLS1526-3593366,2274617,2131494,180858686,173554713
Aipysurus laevis,Pilbara,ALA-KLS1548-3593373,2132975,2018140,172677610,165846921
Aipysurus laevis,Pilbara,ALA-KLS1548-3593445,2047643,1939558,170758263,164049448
Aipysurus laevis,Pilbara,ALA-KLS1549-3593426,2133508,1953311,174754699,161971092
Aipysurus laevis,Pilbara,ALA-SS170815-03-2892473,1513456,1362610,208856928,113327631
Aipysurus laevis,Pilbara,ALA-KLS0564-R174540-2892378,1436959,1345591,198300342,110789269
