file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
ALA-KLS1413-3593365.fastq.gz	FASTQ	DNA	2096939	171870912	25	82.0	126
ALA-KLS1413-3593437.fastq.gz	FASTQ	DNA	2068874	174467896	25	84.3	128
ALA-KLS1415-3593359.fastq.gz	FASTQ	DNA	2122780	174229305	25	82.1	124
ALA-KLS1415-3593431.fastq.gz	FASTQ	DNA	1877211	160890405	25	85.7	124
ALA-KLS1444-3593398.fastq.gz	FASTQ	DNA	2087672	164854803	25	79.0	125
ALA-KLS1448-3593341.fastq.gz	FASTQ	DNA	2080103	170474182	25	82.0	125
ALA-KLS1452-3593342.fastq.gz	FASTQ	DNA	2071623	173207138	25	83.6	128
ALA-KLS1453-3593336.fastq.gz	FASTQ	DNA	2021666	171555399	25	84.9	124
ALA-KLS1467-3593390.fastq.gz	FASTQ	DNA	2089600	174979570	25	83.7	124
ALA-KLS1474-3593384.fastq.gz	FASTQ	DNA	2035653	165655523	25	81.4	124
ALA-KLS1479-3593389.fastq.gz	FASTQ	DNA	2024381	167156456	25	82.6	125
ALA-KLS1492-3593391.fastq.gz	FASTQ	DNA	1996279	163741248	25	82.0	124
ALA-KLS1526-3593366.fastq.gz	FASTQ	DNA	2131494	173554713	25	81.4	124
ALA-KLS1526-3593438.fastq.gz	FASTQ	DNA	2070306	175388049	25	84.7	128
ALA-KLS1548-3593373.fastq.gz	FASTQ	DNA	2018140	165846921	25	82.2	126
ALA-KLS1548-3593445.fastq.gz	FASTQ	DNA	1939558	164049448	25	84.6	126
ALA-KLS1549-3593354.fastq.gz	FASTQ	DNA	2100772	174653708	25	83.1	128
ALA-KLS1549-3593426.fastq.gz	FASTQ	DNA	1953311	161971092	25	82.9	124
ALA-KLS1555-3593323.fastq.gz	FASTQ	DNA	2077687	182202414	25	87.7	127
ALA-KLS1661-4013402.fastq.gz	FASTQ	DNA	1963169	151659907	25	77.3	124
ALA-KLS1663-4013404.fastq.gz	FASTQ	DNA	1762678	139614089	25	79.2	124
ALA-KLS1664-4013405.fastq.gz	FASTQ	DNA	1904032	146181199	25	76.8	124
ALA-KLS1682-4013423.fastq.gz	FASTQ	DNA	1946589	147277439	25	75.7	125
ALA-KLS1690-4013430.fastq.gz	FASTQ	DNA	1864811	146190184	25	78.4	128
ALA-MAGNT-R36654-2562269.fastq.gz	FASTQ	DNA	507585	35337448	25	69.6	123
ALA-MAGNT-R36654-2571090.fastq.gz	FASTQ	DNA	602376	39535293	25	65.6	123
ALA-MAGNT-R36654-2583996.fastq.gz	FASTQ	DNA	619286	43096644	25	69.6	123
ALA-NC_2019_217-2117818.fastq.gz	FASTQ	DNA	978368	55655857	25	56.9	68
ALA-NC_2019_247-2117816.fastq.gz	FASTQ	DNA	1032766	57624138	25	55.8	68
ALA-NC_Jan2019_208-2562133.fastq.gz	FASTQ	DNA	1259991	100640760	25	79.9	123
ALA-NC_Jan2019_213-2892489.fastq.gz	FASTQ	DNA	1342039	105546310	25	78.6	123
ALA-NC_Jan2019_213-2892584.fastq.gz	FASTQ	DNA	865614	76291392	25	88.1	123
ALA-NC_Jan2019_213-2894774.fastq.gz	FASTQ	DNA	1094239	91202178	25	83.3	123
ALA-NC_Jan2019_217-2892446.fastq.gz	FASTQ	DNA	1410476	117288125	25	83.2	123
ALA-NC_Jan2019_227-2892537.fastq.gz	FASTQ	DNA	1199213	96050836	25	80.1	123
ALA-NC_Jan2019_247-2892476.fastq.gz	FASTQ	DNA	1306541	104453559	25	79.9	123
ALA-NC_Jan2019_253-3446972.fastq.gz	FASTQ	DNA	1087316	74311701	25	68.3	124
ALA-NC_Jan2019_269-3446978.fastq.gz	FASTQ	DNA	1300352	87024884	25	66.9	125
ALA-NC_Jan2019_271-2892518.fastq.gz	FASTQ	DNA	1268003	102988241	25	81.2	123
ALA-NC_Jan2019_275-3446981.fastq.gz	FASTQ	DNA	1302027	92416370	25	71.0	126
ALA-NC_Jan2019_282-2562143.fastq.gz	FASTQ	DNA	1178292	94100478	25	79.9	123
ALA-NC_Jan2019_282-2583999.fastq.gz	FASTQ	DNA	998323	80317834	25	80.5	123
ALA-R29880-2562259.fastq.gz	FASTQ	DNA	1086436	85527927	25	78.7	123
ALA-R29880-2892521.fastq.gz	FASTQ	DNA	1386258	106574137	25	76.9	123
ALA-R36967-2892426.fastq.gz	FASTQ	DNA	1073655	92810919	25	86.4	123
ALA-R36974-2892437.fastq.gz	FASTQ	DNA	1069120	83811793	25	78.4	123
ALA-R37003-2892459.fastq.gz	FASTQ	DNA	1122318	89462526	25	79.7	123
ALA-R37010-2892460.fastq.gz	FASTQ	DNA	1346248	98823626	25	73.4	123
ALA-R37025-2892461.fastq.gz	FASTQ	DNA	1310289	108566840	25	82.9	123
ALA-R37027-2892458.fastq.gz	FASTQ	DNA	1161439	97359376	25	83.8	123
ALA-R37032-2892401.fastq.gz	FASTQ	DNA	1292138	103599694	25	80.2	123
ALA-R37034-2892486.fastq.gz	FASTQ	DNA	1201770	98751045	25	82.2	123
ALA-R37101-2892544.fastq.gz	FASTQ	DNA	1370941	101757639	25	74.2	123
ALA-R37113-2892490.fastq.gz	FASTQ	DNA	1245399	69028751	25	55.4	123
ALA-R37116-2892470.fastq.gz	FASTQ	DNA	1210261	82146961	25	67.9	123
ALA-R37122-2892464.fastq.gz	FASTQ	DNA	1233655	95722070	25	77.6	123
ALA-R37128-2892424.fastq.gz	FASTQ	DNA	1211467	99490672	25	82.1	123
ALA-R37140-2892462.fastq.gz	FASTQ	DNA	1275845	99672745	25	78.1	123
ALA-SS170808-01-2562218.fastq.gz	FASTQ	DNA	1255248	90378752	25	72.0	123
ALA-SS170808-06-2892529.fastq.gz	FASTQ	DNA	1348804	102844295	25	76.2	123
ALA-SS170809-01-2892375.fastq.gz	FASTQ	DNA	1184063	92276653	25	77.9	123
ALA-SS170809-01-2892565.fastq.gz	FASTQ	DNA	1051797	91488104	25	87.0	123
ALA-SS170809-03-2892475.fastq.gz	FASTQ	DNA	1266587	103721151	25	81.9	123
ALA-SS170810-01-2892386.fastq.gz	FASTQ	DNA	1258912	101180287	25	80.4	123
ALA-SS170810-01-2892576.fastq.gz	FASTQ	DNA	1120492	98525404	25	87.9	123
ALA-SS170813-01-2892422.fastq.gz	FASTQ	DNA	1241987	101792117	25	82.0	123
ALA-SS170815-01-2892435.fastq.gz	FASTQ	DNA	1223305	101011500	25	82.6	123
ALA-SS170815-03-2892473.fastq.gz	FASTQ	DNA	1362610	113327631	25	83.2	123
ALA-SS170815-04-2892440.fastq.gz	FASTQ	DNA	1276249	103681406	25	81.2	123
ALA-SS170816-01-2562206.fastq.gz	FASTQ	DNA	1236847	104401944	25	84.4	123
ALA-SS170816-01-2584000.fastq.gz	FASTQ	DNA	1129090	87570132	25	77.6	123
ALA-SS170816-01-2892493.fastq.gz	FASTQ	DNA	1336415	107406369	25	80.4	123
ALA-SS170816-01-2892588.fastq.gz	FASTQ	DNA	1030485	89850807	25	87.2	123
ALA-SS170820-01-2562217.fastq.gz	FASTQ	DNA	889753	64940174	25	73.0	123
ALA-SS170820-05-2892447.fastq.gz	FASTQ	DNA	1025532	83734516	25	81.6	123
ALA-SS170822-01-2892494.fastq.gz	FASTQ	DNA	1287296	100714253	25	78.2	123
ALA-SS170822-01-2892589.fastq.gz	FASTQ	DNA	1173317	100936197	25	86.0	123
ALA-SS170822-02-2892495.fastq.gz	FASTQ	DNA	1307097	104672549	25	80.1	123
ALA-SS170822-02-2892590.fastq.gz	FASTQ	DNA	991249	78269953	25	79.0	123
ALA-SS170822-02-2894775.fastq.gz	FASTQ	DNA	863691	76876901	25	89.0	123
ALA-SS170822-03-2892528.fastq.gz	FASTQ	DNA	1268420	88915964	25	70.1	123
ALA-SS170822-03-2894754.fastq.gz	FASTQ	DNA	1195648	91794219	25	76.8	123
ALA-SS171011-02-2892425.fastq.gz	FASTQ	DNA	1210175	101963723	25	84.3	123
ALA-SS171011-03-2892496.fastq.gz	FASTQ	DNA	1260661	102042203	25	80.9	123
ALA-SS171011-03-2892591.fastq.gz	FASTQ	DNA	1101750	93256741	25	84.6	123
ALA-SS171018-02-2892517.fastq.gz	FASTQ	DNA	1289131	100115277	25	77.7	123
ALA-SS171025-01-2892506.fastq.gz	FASTQ	DNA	1149043	90068440	25	78.4	123
ALA-SS171025-02-2892393.fastq.gz	FASTQ	DNA	1197611	97509187	25	81.4	123
ALA-SS171104-01-2892432.fastq.gz	FASTQ	DNA	1223781	101597513	25	83.0	123
ALA-SS171105-01-2892472.fastq.gz	FASTQ	DNA	1285818	103447885	25	80.5	123
ALA-SS171106-02-2892479.fastq.gz	FASTQ	DNA	1214599	97585126	25	80.3	123
ALA-SS171106-03-2892404.fastq.gz	FASTQ	DNA	1310908	103340045	25	78.8	123
ALA-UAE275-2892543.fastq.gz	FASTQ	DNA	1137588	90956892	25	80.0	123
ALA-VU121-2562122.fastq.gz	FASTQ	DNA	1274904	90215612	25	70.8	123
ALA-VU121-2584014.fastq.gz	FASTQ	DNA	1075560	76027413	25	70.7	123
ALA-VU130-2562201.fastq.gz	FASTQ	DNA	1087615	88150680	25	81.0	123
ALA-VU130-2571062.fastq.gz	FASTQ	DNA	691112	54754038	25	79.2	123
