Species,Region,Sample,reads_raw,reads_sum_len_raw,reads_qc,reads_sum_len_qc,reads_ipyrad,refseq_mapped_reads,refseq_unmapped_reads,clusters_total,clusters_hidepth,hetero_est,error_est,reads_consens,loci_in_assembly
Aipysurus laevis,Ashmore,ALA-Al320-3991317,1566286,92978811,1386629,86621037,961367,684473,276894,61036,21036,0.002436,0.002147,20826,19258
Aipysurus laevis,Ashmore,ALA-Al321-3991414,1594329,87710600,1393080,81060685,906225,665353,240872,56827,20024,0.00257,0.002507,19827,18357
Aipysurus laevis,Ashmore,ALA-Al324-3991415,1392742,91467839,1258178,85615377,933915,641200,292715,64694,21641,0.002237,0.001688,21430,19827
Aipysurus laevis,Ashmore,ALA-Al325-3991416,1708329,89645341,1384035,76507031,849494,609220,240274,37106,16837,0.003453,0.002783,16617,15075
Aipysurus laevis,Ashmore,ALA-Al326-3991417,1604942,90226495,1414753,83496806,939188,670963,268225,45722,17399,0.002444,0.002211,17212,15757
Aipysurus laevis,Ashmore,ALA-Al327-3991418,1541208,85581547,1341584,78902794,886969,647429,239540,46098,18107,0.002435,0.00225,17931,16368
Aipysurus laevis,Ashmore,ALA-Al329-3991419,1504874,85453863,1316740,78981534,886567,665373,221194,49391,18957,0.002499,0.002013,18802,17246
Aipysurus laevis,Ashmore,ALA-Al331-3991420,1397218,91068597,1273431,85875503,933506,568965,364541,68620,21102,0.002292,0.00164,20918,19433
Aipysurus laevis,Ashmore,ALA-Al333-3991421,1400304,90951370,1276207,85369509,935654,626924,308730,66902,22131,0.002261,0.001768,21931,20368
Aipysurus laevis,Ashmore,ALA-Al336-3991422,1529300,87681006,1350629,81264030,906140,655425,250715,51381,18805,0.002373,0.002207,18620,17127
Aipysurus laevis,Ashmore,ALA-Al338-3991423,1516993,88481047,1341645,82106854,921283,687938,233345,50525,18748,0.002369,0.002162,18550,16995
Aipysurus laevis,Ashmore,ALA-Al342-3991424,1683061,98387731,1477058,90781222,1005508,659686,345822,55990,19622,0.002372,0.001988,19420,17907
Aipysurus laevis,Ashmore,ALA-Al344-3991425,1525180,92789895,1365300,87011399,961847,705055,256792,68880,23278,0.002347,0.001988,23055,21494
Aipysurus laevis,Ashmore,ALA-Al346-3991426,1577917,93238819,1415048,87086532,972331,694317,278014,52602,19568,0.002499,0.002084,19384,17847
Aipysurus laevis,Townsville,ALA-Al376-3991427,1305157,84617157,1182389,79435835,866418,582263,284155,63768,19768,0.00211,0.001626,19574,18012
Aipysurus laevis,Townsville,ALA-Al377-3991428,1679620,88159609,1436273,79868531,896701,613115,283586,44839,16497,0.002957,0.002515,16308,14836
Aipysurus laevis,Townsville,ALA-Al378-3991429,1530545,89015923,1357639,82575958,928725,651119,277606,58383,19569,0.002187,0.002256,19365,17862
Aipysurus laevis,Townsville,ALA-Al379-3991430,1602747,95526540,1436061,89068284,997931,668809,329122,58746,20032,0.00224,0.002296,19813,18305
Aipysurus laevis,Ashmore Reef,ALA-Al4-2562181,1366188,188533944,1146264,89055483,925578,630387,295191,82524,23276,0.002293,0.002552,23045,21657
Aipysurus laevis,Scott Reef,ALA-KLS0327-2892561,1376652,189977976,1230268,96938209,1008237,711251,296986,68909,27700,0.002084,0.00266,27491,25637
Aipysurus laevis,Pilbara,ALA-KLS0564-R174540-2892378,1436959,198300342,1345591,110789269,1138064,786681,351383,92368,29074,0.001862,0.002492,28834,25565
Aipysurus laevis,Exmouth Gulf,ALA-KLS0793-2892513,1556315,214771470,1365142,108763722,1124817,713475,411342,90482,29701,0.002148,0.002648,29472,27987
Aipysurus laevis,Exmouth Gulf,ALA-KLS0796-2892514,1579256,217937328,1422644,115249696,1175125,767712,407413,92437,31318,0.001924,0.002758,31041,29446
